Name,Description,Requirements,Script
Life Leech,Drain [heart]2 health,,drain(2); sfx(~_drain~);
Padlock,Lock all dice (once),,inflict(LOCK[;]ALL); sfx(~_lock~); Gadget.changegadget(self[;] ~Padlock~[;] ~Broken Gadget~);
Ice Burn,Burn [fire]1[;] freeze [ice]1,,inflict(FIRE[;]1); inflict(ICE[;]1); sfx(~_fire~); sfx(~_ice~);
Goop Gun,Inflict [poison]2 poison,,inflict(POISON[;]2); sfx(~_poison~);
JOAT Smash,[sword]1[;] [heal]1[;] [shield]1[;] [poison]1,,attack(1); attackself(-1); inflict(POISON); inflictself(SHIELD); sfxdamage(target[;]1); sfx(~_heal~); sfx(~_shield~[;]~~[;]0.6); sfx(~_poison~[;]~~[;]0.2);
Zapthwack,[shock]1 item + [weaken]1 item,,inflict(SHOCK); inflict(WEAKEN); sfx(~_weaken~); sfx(~_shock~);
Mystic Boop,Add random status: [fire][ice][shock][weaken],,var r = rand([0[;]1[;]2[;]3]); var effs = [SHOCK[;]WEAKEN[;]ICE[;]FIRE]; inflict(effs[r]); var sounds=[~_shock~[;]~_weaken~[;]~_ice~[;]~_fire~]; sfx(sounds[r]);
Pinprick,Gain [thorns]1 thorns,,inflictself(THORNS); sfx(~_shield~);
Steel Skin,Lose [heart]2[;] add [shield]4 shield,,pierceattackself(2); inflictself(SHIELD[;]4); sfx(~_drain~); sfx(~_shield~[;]~~[;]0.4);
Magic Lantern,[]+1 dice next turn,,inflictself(~stash~+rand([1[;]2[;]3[;]4[;]5[;]6])); inflictself(~lantern~); sfx(~magic_gaindice~);
Ballerina,Roll 2 twos,,givedice([2[;]2]);
Boom!,[fire]2 dmg to both,,attack(2[;]FIRE); sfx(~_fire~); attackself(2[;]FIRE);
Finger Guns,Deal [sword]0 damage,,attack(0); sfxdamage(target[;]0);
Grammar Fickses,Ficks your items grammer,,for(eq in self.equipment){ if(eq.ready && eq.availablethisturn){ var d = eq.fulldescription; var l = d.split(~dice~); if(l.length > 1){ eq.fulldescription = l.join(~dices~); eq.animate(~flashandshake~); }; }; }; sfx(~openchest~);
Revitalize,Heal [heal]2[;] add [shield]2 shield,,inflictself(SHIELD[;]2); sfx(~_shield~); attackself(-2); sfx(~_heal~);
Phoenix Down,[curse]Survive a fatal blow (once),,inflictself(SURVIVE); sfx(~_survive~); Gadget.changegadget(self[;] ~Phoenix Down~[;] ~Broken Gadget~);
Phoenix Down?,[curse]Survive for 3 turns (once),,inflictself(SURVIVE); sfx(~_curse~); Gadget.changegadget(self[;] ~Phoenix Down?~[;] ~Broken Gadget~);
Coin Clippers,[]+[shield]1 per dice you have,,var s = 0; for(d in self.dicepool){ if(d.available()){ s+=1; }; }; if(s > 0){ sfx(~_shield~); inflictself(SHIELD[;]s); };
Mechanical Kneecap,[sword]1 dmg per dice you have,,var s = 0; for(d in self.dicepool){ if(d.available()){ s+=1; }; }; if(s > 0){ sfxdamage(target[;]s); attack(s); };
GADGET.PDF.EXE,Roll [red]3[] new dice!,,givedice([1[;]1[;]1]); for(x in [1[;]2[;]3]){ self.dicepool[self.dicepool.length-x].animate(~lock~[;](3-x)*0.3); self.dicepool[self.dicepool.length-x].animate(~fire~[;](3-x)*0.3); }
Smoke Cloud,Blind [blind]all dice,,inflict(BLIND[;]ALL); sfx(~_blind~);
Whelm,[sword]1 dmg[;] +1 each use,,attack(1 + getstatusself(~whelm~)); inflictself(~whelm~); sfxdamage(target[;]1+getstatusself(~whelm~));
Two Handed Knife,[sword]5 dmg to both,,attack(5); attackself(5); sfxdamage(target[;]5);
Throwing Knife,Deal [sword]9 damage (once),,attack(9); sfxdamage(target[;]9); Gadget.changegadget(self[;] ~Throwing Knife~[;] ~Broken Gadget~);
Ragnarok,Inflict [curse]10 curses (once),,inflict(CURSE[;]10); sfx(~_curse~); Gadget.changegadget(self[;] ~Ragnarok~[;] ~Broken Gadget~);
Pee Gun,[poison]1 poison + [shock]1 shock,,inflict(POISON); sfx(~_poison~); inflict(SHOCK); sfx(~_shock~);
What,How did you do this,,self.textparticle(~?????~); sfx(~_thinghappens~);
Mass Polymorph,Change ALL items/gadgets,,var items = []; var newitems = []; for(eq in target.equipment){ if(eq.skillcard == ~~){ items.push(eq); }; }; for(eq in items){ removeequipment(eq.name[;]target); var neweq = ~~; if(eq.size == 1){ neweq = rand(getparticularequipment(['small'])); while(neweq == eq.name){ neweq = rand(getparticularequipment(['small'])); }; }else{ neweq = rand(getparticularequipment(['large'])); while(neweq == eq.name){ neweq = rand(getparticularequipment(['small'])); }; }; newitems.push(neweq); }; giveenemyequipment(newitems[;]false[;]false); sfx(~_thinghappens~); inflict(~polymorphall~); items = []; newitems = []; for(eq in self.equipment){ if(eq.skillcard == ~~){ items.push(eq); }; }; for(eq in items){ removeequipment(eq.name[;]self); var neweq = ~~; if(eq.size == 1){ neweq = rand(getparticularequipment(['small'])); while(neweq == eq.name){ neweq = rand(getparticularequipment(['small'])); }; }else{ neweq = rand(getparticularequipment(['large'])); while(neweq == eq.name){ neweq = rand(getparticularequipment(['small'])); }; }; newitems.push(neweq); }; giveequipment(newitems[;]false[;]false); sfx(~_thinghappens~); inflict(~polymorphall~); inflictself(~polymorphall~); Gadget.changegadget(self[;] ~Mass Polymorph~[;] rand([~Life Leech~[;]~Padlock~[;]~Goop Gun~[;]~JOAT Smash~[;]~Mystic Boop~[;]~Pinprick~[;]~Steel Skin~[;]~Magic Lantern~[;]~Ballerina~[;]~Boom!~[;]~Finger Guns~[;]~Revitalize~[;]~Phoenix Down~[;]~Smoke Cloud~[;]~Whelm~[;]~Two Handed Knife~[;]~Throwing Knife~[;]~Ragnarok~[;]~Pee Gun~[;]~Fury~[;]~Firebomb~[;]~Magic Dice~[;]~Focus~[;]~Flashbang~[;]~Hook~[;]~Meganudge~[;]~Megabump~[;]~Barricade~[;]~Jackhammer~[;]~Pea Gun~[;]~Blowtorch~[;]~Clone Device~[;]~Battle Wrench~[;]~Refrigerator~[;]~Protection~[;]~Regenerate~[;]~Plasma Gun~[;]~Burrower~[;]~Lucky Shot~[;]~Magic Lockpick~[;]~Snake Eyes~[;]~Heat Ray~[;]~Theremin~[;]~Static Shock~[;]~Very Unlucky Roll~[;]~Tantrum~[;]~Marble~[;]~Stardust~[;]~Power Up~[;]~Poison Arrow~[;]~Time Stop~[;]~Blood Sip~[;]~Infinity Mirror~[;]~Megaflip~[;]~Magic Six~[;]~Bubble Gun~[;]~Shuriken~[;]~Catapult~[;]~Dramatic Pause~[;]~Quick Thinking~[;]~Random Roll~[;]~Arctic Storm~[;]~Pillow Fort~[;]~Zap~[;]~Ember~[;]~Mumble~[;]~Needle~[;]~Efficiency~[;]~Scream~[;]~Harvest~[;]~Overload~[;]~Dial Up Sounds~[;]~Magic Spanner~[;]~Replicate~[;]~Flash Freeze~[;]~Still Standing~])); Gadget.reactivate(self[;] ALL);
Regenerous,Heal [heal]3 hp (for both),,attack(-3); attackself(-3); sfx(~_heal~);
Health Down,Reduce enemy health by [heart]3,,pierceattack(3); sfx(~_drain~);
Lava Drop,[sword]2 dmg[;] gain [shield]2 shield,,attack(2); sfxdamage(target[;]2); inflictself(SHIELD[;]2); sfx(~_shield~);
Mutagen,Gain [heart]3 max hp (once),,self.maxhp+=3; sfx(~_cure~); Gadget.changegadget(self[;] ~Mutagen~[;] ~Broken Gadget~);
Megacurse,Inflict curse to both,,inflict(CURSE); inflictself(CURSE); sfx(~_curse~);
Magic Counterspell,Lock a random dice value,,inflict(~counter_~+rand([1[;]2[;]3[;]4[;]5[;]6])); sfx(~_lock~);
Whacksies,Deal [sword]10 dmg in [jinx]2 turns,,jinx(~Whacksies~[;]~take [sword]10 damage~[;]~take [sword]10 damage~[;]~attack(10); sfxdamage(null[;]10);~[;]target[;]self[;]2[;]2); sfx(~_thinghappens~);
Double Tap,Deal [sword]2 dmg[;] twice,,attack(2); attack(2); sfxdamage(target[;]2); sfx(~_magic~[;]~~[;]0.2);
Helium Script,(should not appear),,for(mydice in self.dicepool){ if(mydice.available()){ mydice.kick(-90[;]10); }; }; self.setvar(~h~[;]self.getvar(~h~)+1); if(self.getvar(~h~) < 5){ var t = new elements.Skill(~Helium Script~); t.execute(self[;]target); };
Grace Checks,(should not appear),,var grace = getstatusself(~grace~); var diff = grace - self.hp; if(diff > 0){ pierceattackself(-diff); sfx(~_heal~); sfx(~_survive~); removestatusself(~grace~[;]diff); };
Unlimited Limit,Gain [confuse]5 limit break charge,,self.limitvalue+=5; if(self.limitvalue > self.limitmax){self.limitvalue = self.limitmax;}; sfx(~_thinghappens~);
Beam Dream,Gain [cog]2 Beam Power,,inflictself(~dynamo~|2); self.setvar(~dynamo~|getstatusself(~dynamo~)); sfx(~_magic~);
Stupendously Unlucky Roll,Roll a 1,,givedice(1);
Slick Slash,Do [sword]1 per turn for 3 turns,,inflict(~bleed3~); sfxdamage(target|3);
